Date,Title,Type
2024-03-15 10:00,Weekday Mass,Mass
2024-03-15 18:00,Holy Hour Adoration,Adoration
2024-03-15 19:00,Stations of the Cross,Stations of the Cross
2024-03-15 19:45,Weekday Mass,Mass
2024-03-16 09:00,Weekday Mass,Mass
2024-03-19 19:30,Weekday Mass,Mass
2024-03-20 12:00,Stations of the Cross followed by Service of Word and Sacrament,Stations of the Cross
2024-03-21 10:00,Weekday Mass,Mass
2024-03-21 14:00,Funeral Mass,Mass
2024-03-22 10:00,Weekday Mass,Mass
2024-03-22 18:00,Holy Hour Adoration,Adoration
2024-03-22 19:00,Stations of the Cross,Stations of the Cross
2024-03-22 19:45,Weekday Mass,Mass
2024-03-23 09:00,Weekday Mass,Mass
2024-03-23 17:15,Confessions,Confession
2024-03-23 18:00,Vigil Mass,Mass
2024-03-24 08:30,Sunday Mass,Mass
2024-03-24 10:00,Sunday Mass,Mass
2024-03-25 10:00,Holy Monday Mass,Mass
2024-03-26 10:00,Holy Tuesday Mass,Mass
2024-03-27 18:00,Confessions and Holy Hour of Adoration,Confession
2024-03-27 19:30,Holy Wednesday Mass,Mass
2024-03-28 19:30,MAUNDY THURSDAY Mass,Mass
2024-03-29 10:30,Children's Stations of the Cross,Stations of the Cross
2024-03-29 15:00,"GOOD FRIDAY, The Solemn Passion of Our Lord",Mass
2024-03-30 19:00,"EASTER VIGIL Mass, First Easter Mass",Mass
2024-03-31 08:30,EASTER SUNDAY,Mass
2024-03-31 10:00,Easter Sunday,Mass
